team,bestScore,worstScore,totalScore,bestPoints,worstPoints,totalPoints,streak,beststreak,homeWins,homeLosses,homeTies,awayWins,awayLosses,awayTies,totalWins,totalLosses,totalTies
Alemannia Aachen,61,30,688,65,31,659,3,5,120,68,52,62,117,61,182,185,113
Bayreuth SpVgg,54,54,54,42,42,42,2,2,10,4,5,1,14,4,11,18,9
Blau-Weiß 1890 Berlin,55,46,101,56,49,105,2,3,18,4,16,6,15,17,24,19,33
Braunschweig,65,20,583,67,23,624,1,5,108,67,70,55,125,65,163,192,135
Darmstadt 98,48,26,453,59,25,450,3,4,71,53,64,41,97,50,112,150,114
Fortuna Köln,56,37,492,69,35,465,2,6,76,50,56,40,81,61,116,131,117
Hannover 96,93,31,1402,75,21,1308,1,6,225,134,143,122,255,124,347,389,267
Hertha BSC,82,34,1508,76,17,1512,1,6,256,140,138,155,238,141,411,378,279
Hessen Kassel,35,35,35,46,46,46,3,3,7,7,5,6,11,2,13,18,7
MSV Duisburg,70,31,1271,83,22,1241,1,5,203,132,136,120,215,136,323,347,272
Meppen,52,35,347,62,27,373,1,3,70,22,56,19,79,50,89,101,106
Preußen Münster,45,35,80,49,37,86,1,2,14,10,14,7,22,9,21,32,23
RW Essen,49,34,258,57,29,238,2,4,40,34,34,18,60,30,58,94,64
SC Freiburg,102,30,1535,92,18,1509,5,8,266,148,131,145,255,145,411,403,276
Saarbrücken,58,30,442,61,25,434,2,4,75,43,52,36,85,49,111,128,101
Schalke 04,74,18,1547,80,13,1647,1,6,280,119,149,168,224,154,448,343,303
Stuttgarter Kickers,68,31,486,72,34,492,2,5,90,46,48,41,92,51,131,138,99
Unterhaching,58,33,547,63,35,583,2,5,109,51,69,43,128,58,152,179,127
VfL Osnabrück,63,25,442,55,26,385,2,4,67,61,48,29,99,49,96,160,97
Wattenscheid 09,70,31,416,72,29,367,1,5,65,46,46,26,83,48,91,129,94
FC 08 Homburg,53,27,246,61,31,261,2,5,48,27,31,17,54,35,65,81,66
Havelse,44,44,44,25,25,25,1,1,6,9,4,0,16,3,6,25,7
Mainz 05,66,29,1449,64,26,1438,2,7,238,132,158,142,246,140,380,378,298
Schweinfurt,30,26,56,24,15,39,1,1,8,16,12,0,33,3,8,49,15
VfB Oldenburg,58,33,148,46,27,119,2,3,23,16,20,5,39,15,28,55,35
Waldhof Mannheim,66,27,557,76,25,567,3,5,113,45,50,34,98,76,147,143,126
1. FC Lokomotive Leipzig,66,29,290,80,20,295,1,5,52,27,40,24,68,27,76,95,67
1860 München,63,19,1117,66,23,1111,2,5,187,124,110,106,193,122,293,317,232
Chemnitzer,64,24,280,69,16,302,1,4,54,31,36,23,63,35,77,94,71
FC Carl Zeiss Jena,66,28,349,69,29,339,3,4,55,37,46,28,66,44,83,103,90
Hallescher FC,27,27,27,25,25,25,2,2,3,1,7,2,6,3,5,7,10
Rot-Weiss Erfurt,34,21,55,30,10,40,1,1,6,12,10,3,22,3,9,34,13
FC Remscheid,50,50,50,42,42,42,2,2,8,8,7,1,14,8,9,22,15
FC St. Pauli,72,31,1218,64,22,1210,3,5,203,119,142,111,227,126,314,346,268
Fortuna Düsseldorf,64,26,914,63,28,920,1,5,145,105,111,92,172,98,237,277,209
Hansa Rostock,66,30,875,65,27,867,3,4,158,102,90,69,185,96,227,287,186
Wolfsburg,80,33,1480,69,33,1419,4,10,245,113,139,136,226,137,381,339,276
Wuppertaler SV,55,44,99,61,41,102,1,3,20,12,10,6,22,14,26,34,24
KFC Uerdingen 05,49,33,345,65,26,340,1,5,53,58,44,30,78,47,83,136,91
Tennis Borussia,47,42,131,54,33,127,2,4,19,15,19,13,28,12,32,43,31
VfL Bochum,69,30,1528,69,27,1455,2,8,239,155,151,150,258,137,389,413,288
FSV Frankfurt,55,29,362,54,15,330,2,3,50,60,43,34,84,35,84,144,78
Nürnberg,68,26,1369,65,19,1353,1,7,222,154,150,135,259,132,357,413,282
Zwickau,39,32,137,49,28,154,3,5,31,17,20,8,43,17,39,60,37
Arminia Bielefeld,68,22,1026,68,20,983,1,8,165,122,102,89,179,119,254,301,221
VfB Lübeck,51,32,170,44,36,163,2,3,29,20,19,14,39,15,43,59,34
Eintracht Frankfurt,76,31,1591,68,32,1512,5,6,258,139,146,148,247,148,406,386,294
Gutersloh,43,39,125,55,37,137,1,3,26,6,19,9,29,13,35,35,32
Kaiserslautern,74,24,1439,68,23,1451,2,7,252,105,138,140,218,137,392,323,275
Energie Cottbus,65,30,721,58,25,716,1,4,136,90,63,54,152,83,190,242,146
Greuther Fürth,73,26,1158,70,21,1187,1,7,197,103,104,120,153,132,317,256,236
Karlsruher SC,69,27,1246,70,25,1240,2,5,207,124,144,113,225,136,320,349,280
Köln,84,26,1536,68,22,1443,2,6,235,164,144,151,251,141,386,415,285
Rot-Weiß Oberhausen,55,30,416,53,28,412,3,5,76,54,40,32,90,48,108,144,88
Ulm,63,36,141,58,34,127,3,3,21,15,15,12,26,13,33,41,28
B. Mönchengladbach,71,23,1587,66,21,1488,2,6,261,123,159,136,269,138,397,392,297
Kickers Offenbach FC,42,35,157,43,35,152,2,6,26,23,19,12,37,19,38,60,38
Reutlingen,64,43,160,53,39,136,3,4,28,16,7,11,28,12,39,44,19
Rot Weiss Ahlen,61,19,341,54,22,323,2,5,52,53,31,35,70,31,87,123,62
SV Babelsberg 03,39,39,39,18,18,18,2,2,3,14,0,1,10,6,4,24,6
Union Berlin,61,36,718,60,33,702,3,6,123,52,77,61,118,73,184,170,150
SV Eintracht Trier,53,39,138,48,39,132,2,3,22,15,14,13,25,13,35,40,27
SV Wacker Burghausen,48,40,223,48,32,216,2,4,27,26,32,27,36,22,54,62,54
Erzgebirge Aue,49,31,611,56,32,632,2,6,115,64,73,52,142,58,167,206,131
Jahn Regensburg,55,28,259,49,19,229,2,3,37,37,25,20,44,33,57,81,58
Dynamo Dresden,53,32,508,50,20,513,2,4,90,66,67,38,123,62,128,189,129
Paderborn,76,28,561,62,20,548,1,5,85,69,64,58,105,55,143,174,119
Siegen Sportfreunde ,35,35,35,31,31,31,2,2,5,7,5,3,12,2,8,19,7
FC Augsburg,60,29,647,65,32,646,2,5,102,78,72,68,120,64,170,198,136
TuS Koblenz,47,35,164,47,31,160,2,4,26,17,25,15,41,12,41,58,37
Hoffenheim,72,39,754,62,31,648,2,7,104,66,65,67,98,70,171,164,135
SV Wehen Burghausen,47,28,75,44,27,71,1,4,10,12,12,6,17,11,16,29,23
Ingolstadt 04,53,33,403,64,31,407,3,4,55,64,51,46,71,53,101,135,104
Sandhausen,45,29,332,44,25,346,1,3,51,48,51,36,79,34,87,127,85
VfR Aalen,40,34,110,46,33,123,2,3,18,17,16,12,22,17,30,39,33
Heidenheim,55,41,325,55,42,334,5,5,59,29,28,30,47,39,89,76,67
RB Leipzig,81,39,412,67,50,429,6,8,69,18,29,54,31,31,123,49,60
Stuttgart,78,32,1669,73,28,1594,2,8,282,136,125,157,234,152,439,370,277
Würzburger Kickers,32,30,62,34,20,54,1,3,7,11,13,5,21,5,12,32,18
Holstein Kiel,71,39,223,56,43,194,5,5,28,15,20,23,21,21,51,36,41
Hamburger SV,63,25,1479,68,27,1489,2,5,253,147,143,143,242,158,396,389,301
Magdeburg,35,35,35,31,31,31,2,2,2,5,10,4,10,3,6,15,13
Wehen Wiesbaden,45,45,45,34,34,34,2,2,4,9,4,5,9,3,9,18,7
B. Dortmund,84,41,1952,81,40,1894,4,8,330,86,126,206,178,160,536,264,286
B. Leverkusen,77,37,1893,73,38,1789,5,7,293,111,139,207,186,150,500,297,289
Bayern München,100,55,2380,91,49,2290,5,19,400,48,95,287,122,134,687,170,229
Werder Bremen,79,32,1752,74,30,1600,2,6,271,138,134,167,224,152,438,362,286
AFC Bournemouth,66,40,364,71,34,330,2,5,55,50,34,33,73,32,88,123,66
Barnsley,88,37,813,82,35,858,1,9,150,85,81,82,152,81,232,237,162
Blackburn Rovers,80,32,1305,91,31,1370,2,7,232,125,126,137,210,137,369,335,263
Bradford City,82,30,445,87,26,438,1,4,77,71,51,37,117,45,114,188,96
Brighton & Hove Albion,63,33,405,70,33,417,2,5,63,67,58,43,103,41,106,170,99
Hull City,58,33,296,58,30,274,2,4,42,57,42,23,81,37,65,138,79
Ipswich Town,85,35,1029,87,27,1061,4,6,184,91,79,106,136,112,290,227,191
Leeds United,79,28,957,85,33,1028,3,7,172,74,89,110,133,93,282,207,182
Leicester,73,30,1265,92,28,1280,3,8,207,130,130,135,209,124,342,339,254
Middlesbrough,77,27,1082,91,28,1160,1,6,201,129,115,104,212,130,305,341,245
Newcastle,92,32,1606,96,32,1635,1,11,293,143,150,150,281,156,443,424,306
Oldham Athletic AFC,83,42,486,88,40,459,2,5,86,39,53,34,98,46,120,137,99
Oxford United,69,53,245,61,50,221,2,3,36,27,29,20,48,24,56,75,53
Plymouth Argyle,58,42,206,55,48,209,3,4,39,22,31,14,59,19,53,81,50
Port Vale,62,42,484,67,36,480,1,4,81,71,55,39,103,65,120,174,120
Portsmouth,97,34,1149,98,28,1156,1,7,208,133,114,97,231,127,305,364,241
Sheffield United,78,17,1067,85,14,1132,1,5,195,105,112,106,188,117,301,293,229
Stoke City,60,34,879,73,33,1039,1,4,185,123,109,81,205,132,266,328,241
Sunderland,91,21,1300,105,15,1399,2,8,227,167,159,142,278,133,369,445,292
Swindon Town,79,38,579,76,30,539,2,4,96,74,58,42,119,67,138,193,125
Watford,76,29,1089,82,24,1118,3,6,182,144,127,112,231,109,294,375,236
West Bromwich Albion,69,28,1208,89,24,1231,2,5,198,178,144,115,256,148,313,434,292
West Ham,81,35,1555,88,33,1624,4,5,281,178,153,154,291,166,435,469,319
Wolves,81,31,1253,86,25,1310,2,6,211,123,140,132,202,141,343,325,281
Bristol City,68,40,358,67,42,378,4,4,67,46,46,31,89,38,98,135,84
Bristol Rovers,60,55,171,62,41,161,4,4,28,19,22,13,40,16,41,59,38
Charlton Athletic,80,31,920,91,30,1012,2,8,165,109,104,105,175,98,270,284,202
Millwall,70,39,674,77,26,754,1,5,126,68,76,73,115,81,199,183,157
Notts County,76,40,281,80,40,280,2,7,54,32,27,20,62,31,74,94,58
Sheffield Wednesday,80,34,777,82,31,782,2,7,125,90,95,78,155,78,203,245,173
Cambridge United,65,48,113,74,49,123,2,3,18,13,15,12,16,18,30,29,33
Derby County,73,20,907,79,11,927,1,5,159,127,90,89,193,93,248,320,183
Grimsby Town,62,40,556,65,39,596,2,4,98,75,80,55,141,57,153,216,137
Southend United,63,42,328,62,39,333,1,4,61,40,37,27,79,32,88,119,69
Tranmere Rovers,72,46,611,79,38,619,2,4,110,52,68,51,111,68,161,163,136
Birmingham City,70,28,839,81,34,958,2,5,162,98,101,88,165,107,250,263,208
Brentford,71,52,123,73,49,122,6,6,17,12,13,16,18,10,33,30,23
Luton Town,61,35,363,58,37,382,3,3,65,50,55,30,100,42,95,150,97
Peterborough United,55,48,103,62,37,99,2,3,13,13,20,11,28,7,24,41,27
Bolton Wanderers,100,36,1028,98,29,1048,4,7,174,97,114,104,181,100,278,278,214
Crystal Palace,78,31,1225,90,33,1279,2,6,185,165,145,154,223,117,339,388,262
Nottingham Forest,82,31,942,94,30,988,3,5,157,90,115,101,163,99,258,253,214
Oxford City,64,48,226,58,44,208,3,4,43,27,22,12,59,21,55,86,43
Burnley,70,25,590,75,30,645,1,5,109,91,68,61,139,67,170,230,135
Reading,61,39,568,79,28,638,2,6,113,71,54,64,122,53,177,193,107
Huddersfield Town,62,22,424,74,16,450,1,5,81,66,50,33,105,58,114,171,108
Norwich City,79,26,1113,94,21,1197,1,9,199,118,146,115,240,109,314,358,255
Man. City,108,29,2007,100,34,1998,13,18,351,138,121,223,231,155,574,369,276
Queens Park Rangers,64,30,852,66,25,844,1,7,136,111,110,77,184,95,213,295,205
Bury,42,35,77,52,47,99,1,2,16,13,17,5,22,19,21,35,36
Crewe Alexandra,66,46,375,59,48,365,3,4,63,61,37,34,90,37,97,151,74
Stockport County,71,42,275,65,26,249,1,4,40,40,35,21,63,31,61,103,66
Fulham,90,24,767,101,26,806,2,8,149,104,75,60,163,104,209,267,179
Walsall,57,45,205,54,46,202,2,3,35,35,22,17,51,24,52,86,46
Gillingham,64,45,274,64,50,282,2,3,51,40,24,22,54,39,73,94,63
Preston North End,71,41,381,78,48,394,3,4,66,31,39,43,64,28,109,95,67
Wimbledon FC,76,34,788,69,29,785,1,7,116,100,93,84,133,92,200,233,185
Coventry City,67,35,772,66,34,821,2,6,135,109,104,72,180,96,207,289,200
Rotherham United,62,35,243,59,29,230,2,3,30,41,40,24,59,28,54,100,68
Cardiff City,68,32,239,65,30,242,2,5,38,45,22,25,48,31,63,93,53
Wigan Athletic,79,34,455,87,36,489,2,6,72,68,58,56,95,47,128,163,105
Swansea City,54,28,356,75,33,387,2,4,62,49,42,42,79,33,104,128,75
Wycombe Wanderers,30,30,30,33,33,33,2,2,5,11,5,3,13,4,8,24,9
BV Veendam ,68,0,276,102,0,208,0,34,34,106,106,0,0,0,34,106,106
Dordrecht,114,0,606,114,0,756,1,38,197,131,125,8,44,16,205,175,141
Emmen,136,0,735,114,0,655,2,38,156,127,155,7,27,11,163,154,166
FC Eindhoven,152,0,526,136,0,700,0,38,140,68,178,34,0,0,174,68,178
Go Ahead Eagles,228,0,999,114,0,866,2,38,241,164,61,19,75,25,260,239,86
HFC Haarlem ,114,0,542,114,0,471,1,38,117,155,113,1,12,4,118,167,117
Helmond Sport,170,29,677,114,0,469,0,38,110,106,139,0,0,0,110,106,139
Heracles,238,32,1291,114,0,1105,2,38,261,152,95,57,152,56,318,304,151
MVV Maastricht,136,34,932,136,0,788,1,38,158,121,154,30,87,70,188,208,224
ADO Den Haag,136,0,1182,102,16,1050,1,34,215,128,126,69,193,72,284,321,198
PEC Zwolle,136,0,840,102,0,796,1,34,173,97,122,37,100,44,210,197,166
SC Telstar,114,34,556,114,0,386,0,38,106,136,68,0,0,0,106,136,68
Den Bosch,76,0,346,114,0,319,1,38,62,105,96,5,58,22,67,163,118
Groningen,204,27,1556,102,31,1423,4,34,263,135,140,121,251,131,384,386,271
TOP Oss,190,0,630,114,0,545,0,38,169,144,38,0,0,0,169,144,38
VVV Venlo,190,24,911,114,0,756,2,38,161,153,155,27,116,37,188,269,192
RBC Roosendaal,114,22,350,114,0,359,1,38,96,79,20,15,64,6,111,143,26
Cambuur,76,0,508,114,0,601,2,38,143,89,103,12,74,33,155,163,136
FC Volendam,152,29,783,114,0,697,1,38,144,98,127,30,109,48,174,207,175
Fortuna Sittard,114,0,984,114,0,909,2,38,192,193,147,44,133,54,236,326,201
AGOVV Apeldoorn,114,0,398,114,0,330,0,38,110,110,0,0,0,0,110,110,0
Sparta Rotterdam,228,26,1270,114,24,1033,2,38,213,136,128,58,218,92,271,354,220
Excelsior,76,0,683,114,0,583,2,38,114,120,117,29,104,37,143,224,154
FC Omniworld,76,38,152,38,0,38,0,0,0,76,38,0,0,0,0,76,38
De Graafschap,136,0,861,102,0,787,1,34,180,149,78,40,183,49,220,332,127
Almere City,102,0,178,102,0,136,0,34,34,72,34,0,0,0,34,72,34
Jong Ajax,76,0,76,114,0,114,0,38,38,34,0,0,0,0,38,34,0
Jong Twente,114,114,114,114,114,114,38,38,38,0,0,0,0,0,38,0,0
Willem II,76,29,1420,65,15,1218,1,7,219,178,144,98,283,123,317,461,267
Jong AZ,0,0,0,29,29,29,0,0,0,0,29,0,0,0,0,0,29
Jong PSV,58,34,92,29,0,29,0,0,0,34,29,0,0,0,0,34,29
NEC Nijmegen,57,27,997,51,0,918,2,5,155,178,104,80,219,109,235,397,213
Roda JC,70,26,1451,76,29,1344,3,6,232,126,147,125,225,126,357,351,273
Jong Utrecht,34,34,34,0,0,0,0,0,0,34,0,0,0,0,0,34,0
NAC Breda,204,29,1239,102,23,1054,1,34,186,133,106,99,199,93,285,332,199
Ajax,119,55,2652,89,56,2365,7,14,415,44,77,306,106,125,721,150,202
Feyenoord,90,39,2108,82,40,2018,3,13,358,73,106,232,163,142,590,236,248
PSV,105,54,2612,88,49,2359,3,13,424,38,74,291,108,140,715,146,214
RKC Waalwijk,51,27,1015,59,15,916,2,5,154,141,107,85,224,92,239,365,199
Twente 1965,82,34,1662,86,24,1632,2,12,280,108,132,171,203,147,451,311,279
Utrecht,60,27,1539,63,28,1479,3,6,259,127,151,139,263,134,398,390,285
Vitesse,85,37,1701,70,28,1629,5,8,266,117,155,180,221,136,446,338,291
Heerenveen,88,35,1626,68,33,1422,3,6,236,125,126,154,206,126,390,331,252
SVV,31,31,31,32,32,32,1,1,7,5,5,1,13,3,8,18,8
AZ Alkmaar,83,27,1435,80,25,1328,4,11,220,95,87,166,151,83,386,246,170
Lille,72,26,1465,114,35,1875,7,38,344,112,162,164,225,189,508,337,351
Metz,60,0,1207,81,24,1523,7,7,257,148,185,131,247,174,388,395,359
Montpellier,152,28,1515,114,31,1668,4,38,311,133,168,129,263,180,440,396,348
Nantes,76,28,1375,114,28,1685,3,38,305,127,177,144,266,161,449,393,338
Nice,114,30,1301,78,23,1502,3,7,249,129,208,125,249,172,374,378,380
Olympique Lyonnais,87,25,1820,84,0,2005,5,9,343,111,154,224,198,150,567,309,304
Racing Paris,0,0,0,38,38,38,0,0,0,0,38,0,0,0,0,0,38
Sochaux,67,24,1307,114,23,1602,3,38,298,154,169,119,282,182,417,436,351
Sporting Toulon Var,76,31,272,114,31,334,2,38,78,30,29,14,56,29,92,86,58
Toulouse,114,22,1315,114,13,1535,4,38,274,153,172,127,276,160,401,429,332
Auxerre,66,28,1432,72,34,1644,2,6,296,122,153,143,254,174,439,376,327
Caen,65,27,1402,81,33,1574,2,7,279,148,158,131,268,186,410,416,344
Cannes,56,25,386,60,28,444,2,5,80,48,60,31,106,51,111,154,111
Girondins Bordeaux,66,34,1434,80,36,1694,3,11,302,91,158,151,225,177,453,316,335
Monaco,107,36,1705,95,36,1903,5,12,321,96,155,206,197,167,527,293,322
Nancy,64,27,1278,76,34,1507,4,4,253,149,164,134,250,182,387,399,346
Olympique Marseille,80,31,1696,84,40,1960,5,8,350,91,134,197,193,185,547,284,319
PSG,108,34,1866,96,39,2046,7,14,353,81,137,228,176,166,581,257,303
Saint-Étienne,60,27,1346,73,30,1592,5,7,276,119,186,137,277,167,413,396,353
Stade Brestois,64,31,763,74,29,909,7,7,152,80,102,83,149,102,235,229,204
Stade Rennais,57,25,1318,73,35,1515,4,8,265,133,156,133,256,165,398,389,321
Le Havre,66,23,1230,78,26,1488,2,5,251,123,182,127,257,172,378,380,354
Lens,59,32,1327,68,29,1582,4,7,257,111,184,153,231,168,410,342,352
Nîmes,75,29,934,73,25,979,6,6,158,111,128,91,202,104,249,313,232
Strasbourg,63,28,1004,70,29,1084,4,5,193,102,125,84,209,128,277,311,253
Valenciennes,52,24,754,74,29,817,2,9,135,91,110,70,174,92,205,265,202
Angers SCO,52,28,798,64,25,933,2,4,148,102,126,83,179,114,231,281,240
FC Martigues,54,30,258,67,32,300,1,3,52,39,46,17,73,47,69,112,93
Bastia,61,29,968,74,35,1115,4,5,225,98,106,74,243,112,299,341,218
FC Gueugnon,62,27,630,78,27,758,2,6,125,64,104,63,140,90,188,204,194
Guingamp,63,28,1085,79,27,1255,2,6,211,119,152,111,234,137,322,353,289
Chateauroux,56,22,1037,76,21,1219,1,5,204,111,156,105,230,136,309,341,292
Lorient,68,32,1203,75,31,1347,5,5,226,118,144,131,225,132,357,343,276
Sedan,59,34,771,71,31,866,1,8,146,68,107,72,144,105,218,212,212
Troyes,61,23,1032,78,18,1213,4,8,214,116,116,111,213,122,325,329,238
Ajaccio,62,27,887,72,23,1072,2,5,188,113,128,83,215,131,271,328,259
Le Mans,54,30,893,68,26,1059,2,6,177,91,136,89,190,125,266,281,261
Istres,48,25,449,66,32,520,2,5,92,64,74,34,128,68,126,192,142
Grenoble,51,24,502,63,23,592,3,4,96,59,84,48,115,76,144,174,160
Boulogne,51,31,194,66,31,228,2,6,39,35,21,20,45,30,59,80,51
Arles,43,21,201,60,20,250,1,2,41,32,41,15,58,41,56,90,82
Dijon FCO,62,20,745,70,15,825,6,6,140,83,92,70,142,103,210,225,195
Evian Thonon Gaillard,63,39,284,67,37,277,3,3,44,40,30,28,55,31,72,95,61
Stade de Reims,74,26,718,88,35,819,7,7,136,83,95,69,138,109,205,221,204
Gazélec Ajaccio,49,30,232,65,28,261,2,4,41,38,35,24,59,31,65,97,66
Amiens SC,59,26,796,69,23,932,2,6,154,100,126,75,184,119,229,284,245
Beauvais Oise,50,20,316,61,37,382,3,4,60,41,59,28,73,59,88,114,118
Bourges 18,46,46,46,42,42,42,2,2,8,5,8,2,15,4,10,20,12
Charleville,45,34,157,56,48,205,1,3,28,21,35,18,34,32,46,55,67
Dunkerque,44,26,142,60,34,192,1,5,31,17,30,14,38,27,45,55,57
FC Mulhouse,51,44,244,54,41,248,3,4,47,20,38,14,64,27,61,84,65
FC Rouen 1899,45,27,72,52,29,81,1,2,14,15,11,6,24,10,20,39,21
Niort,58,30,945,65,26,1088,2,5,172,100,167,86,206,147,258,306,314
Olympique Alès,47,29,120,54,25,132,1,2,19,12,32,10,40,13,29,52,45
Red Star,61,28,432,70,30,480,1,5,79,49,53,45,81,55,124,130,108
Stade Briochin,53,32,123,65,38,146,2,3,28,18,17,10,38,15,38,56,32
Stade Lavallois,56,33,919,69,30,1024,1,4,182,101,126,70,197,142,252,298,268
Valence,51,34,387,58,33,426,2,3,75,43,63,25,93,63,100,136,126
Perpignan,44,35,117,61,44,156,3,4,26,12,25,11,32,20,37,44,45
CS Louhans Cuiseaux,57,32,169,58,24,182,1,2,35,25,22,12,51,19,47,76,41
Stade Poitevin,36,36,36,46,46,46,2,2,8,4,9,1,10,10,9,14,19
Épinal,42,26,68,48,26,74,1,2,14,15,13,2,27,13,16,42,26
ES Wasquehal,49,26,223,51,36,264,3,4,44,28,44,18,64,34,62,92,78
Creteil,57,33,452,54,34,484,2,4,79,50,80,32,106,71,111,156,151
Clermont,56,31,777,63,38,893,4,4,145,83,105,79,139,116,224,222,221
